product_id,product_name,location,transcript,timestamp
1,Mobile Hotspot,"New York, NY",Links on the settings page are broken.,2024-03-31T05:00:00
2,Magenta Max,"Dallas, TX","Was forced to migrate to this plan, not happy about it.",2024-02-15T18:00:00
2,Magenta Max,"Houston, TX",My bill is higher than promised after the 'upgrade'.,2024-02-05T00:00:00
3,Business Unlimited,"Dallas, TX",The performance has been rock-solid. Exceeded expectations.,2024-05-25T04:00:00
3,Business Unlimited,"Dallas, TX",The multi-line discount is saving us real money.,2024-04-25T04:00:00
1,Mobile Hotspot,"Miami, FL","I can't find the 'connect' link, is it invisible?",2024-03-11T22:00:00
2,Magenta Max,"Los Angeles, CA","Was promised my old rate, but this migration jacked up my bill.",2024-07-14T04:00:00
2,Magenta Max,"Miami, FL",The 'bundled' services are confusing.,2024-03-26T09:00:00
3,Business Unlimited,"Houston, TX",Just switched. Speeds seem average.,2024-01-01T03:00:00
3,Business Unlimited,"New York, NY",Just switched. Speeds seem average.,2024-01-16T00:00:00
2,Magenta Max,"Dallas, TX","Was promised my old rate, but this migration jacked up my bill.",2024-04-30T02:00:00
1,Mobile Hotspot,"Los Angeles, CA","Great speed, no issues so far.",2024-01-21T20:00:00
2,Magenta Max,"Miami, FL","I was on a simple plan, now I'm stuck in this complex bundle.",2024-07-04T09:00:00
3,Business Unlimited,"Dallas, TX","The price is high, hope it's worth it.",2024-01-26T10:00:00
2,Magenta Max,"New York, NY","I was on a simple plan, now I'm stuck in this complex bundle.",2024-06-29T15:00:00
2,Magenta Max,"Houston, TX",The 'bundled' services are confusing.,2024-03-11T14:00:00
3,Business Unlimited,"Los Angeles, CA",Our data speeds are faster than our office wifi.,2024-05-05T15:00:00
1,Mobile Hotspot,"Miami, FL",Links on the settings page are broken.,2024-06-24T09:00:00
2,Magenta Max,"Dallas, TX",My bill is higher than promised after the 'upgrade'.,2024-02-20T22:00:00
2,Magenta Max,"Atlanta, GA","Was forced to migrate to this plan, not happy about it.",2024-02-25T14:00:00
2,Magenta Max,"Houston, TX",The integration with my existing services is broken.,2024-06-19T19:00:00
1,Mobile Hotspot,"Chicago, IL",Getting constant 'SIM not found' errors.,2024-02-20T13:00:00
2,Magenta Max,"Miami, FL",The perks aren't worth the hassle of the plan migration.,2024-05-10T13:00:00
2,Magenta Max,"Miami, FL",My bill is higher than promised after the 'upgrade'.,2024-03-31T19:00:00
1,Mobile Hotspot,"Phoenix, AZ",Links on the settings page are broken.,2024-06-14T13:00:00
3,Business Unlimited,"Miami, FL",Speeds are consistent across all 10 of our lines.,2024-03-11T07:00:00
1,Mobile Hotspot,"Atlanta, GA","The screen won't load, it's just blank.",2024-03-26T06:00:00
3,Business Unlimited,"New York, NY",This plan is fantastic. Zero downtime this quarter.,2024-07-04T10:00:00
3,Business Unlimited,"Miami, FL",The multi-line discount is saving us real money.,2024-03-31T12:00:00
2,Magenta Max,"Atlanta, GA",The sign-up process was a nightmare of upsells.,2024-01-06T05:00:00
2,Magenta Max,"Dallas, TX","Was forced to migrate to this plan, not happy about it.",2024-01-11T07:00:00
2,Magenta Max,"New York, NY","Was promised my old rate, but this migration jacked up my bill.",2024-06-09T15:00:00
2,Magenta Max,"New York, NY",The perks aren't worth the hassle of the plan migration.,2024-05-25T01:00:00
1,Mobile Hotspot,"Atlanta, GA",Links on the settings page are broken.,2024-02-25T18:00:00
3,Business Unlimited,"Houston, TX",Just switched. Speeds seem average.,2024-01-11T15:00:00
1,Mobile Hotspot,"New York, NY","The screen won't load, it's just blank.",2024-06-04T17:00:00
3,Business Unlimited,"Chicago, IL",Is the 'unlimited' really unlimited? We'll see.,2024-01-31T11:00:00
3,Business Unlimited,"New York, NY",Speeds are consistent across all 10 of our lines.,2024-04-30T00:00:00
3,Business Unlimited,"Dallas, TX","Good reliability, no dropped calls during meetings.",2024-02-20T10:00:00
1,Mobile Hotspot,"Atlanta, GA","I can't find the 'connect' link, is it invisible?",2024-07-04T07:00:00
2,Magenta Max,"Houston, TX","Was forced to migrate to this plan, not happy about it.",2024-03-21T23:00:00
2,Magenta Max,"Miami, FL",Customer service can't explain the new charges.,2024-06-04T20:00:00
1,Mobile Hotspot,"Houston, TX",Getting constant 'SIM not found' errors.,2024-05-05T00:00:00
3,Business Unlimited,"Miami, FL",The dedicated support line is actually very helpful.,2024-03-26T03:00:00
2,Magenta Max,"Miami, FL","I was on a simple plan, now I'm stuck in this complex bundle.",2024-06-14T11:00:00
1,Mobile Hotspot,"Los Angeles, CA","Connection is okay, battery drains a bit fast.",2024-01-16T17:00:00
1,Mobile Hotspot,"Chicago, IL","Connection is okay, battery drains a bit fast.",2024-02-10T15:00:00
3,Business Unlimited,"Houston, TX",Just switched. Speeds seem average.,2024-02-05T23:00:00
1,Mobile Hotspot,"Atlanta, GA","Trying to update settings, but the 'save' button does nothing.",2024-06-29T06:00:00
2,Magenta Max,"Houston, TX","I was on a simple plan, now I'm stuck in this complex bundle.",2024-05-30T22:00:00
2,Magenta Max,"Los Angeles, CA","Was promised my old rate, but this migration jacked up my bill.",2024-07-09T16:00:00
1,Mobile Hotspot,"Phoenix, AZ","I can't find the 'connect' link, is it invisible?",2024-04-25T02:00:00
2,Magenta Max,"Dallas, TX",Customer service can't explain the new charges.,2024-04-10T07:00:00
1,Mobile Hotspot,"Phoenix, AZ",Links on the settings page are broken.,2024-05-25T15:00:00
3,Business Unlimited,"Los Angeles, CA",The multi-line discount is saving us real money.,2024-03-06T14:00:00
3,Business Unlimited,"Chicago, IL",This plan is fantastic. Zero downtime this quarter.,2024-07-09T03:00:00
3,Business Unlimited,"Miami, FL",The dedicated support line is actually very helpful.,2024-03-21T16:00:00
1,Mobile Hotspot,"Los Angeles, CA","The admin page is broken, just shows a 404 error.",2024-03-01T20:00:00
3,Business Unlimited,"Miami, FL","Onboarding was a bit of a hassle, but it's done.",2024-01-21T03:00:00
2,Magenta Max,"Dallas, TX","I don't need this Netflix add-on, why am I paying for it?",2024-01-21T07:00:00
1,Mobile Hotspot,"Chicago, IL",Reliable connection for my laptop.,2024-01-06T09:00:00
3,Business Unlimited,"Los Angeles, CA",The multi-line discount is saving us real money.,2024-03-01T09:00:00
3,Business Unlimited,"Houston, TX",The performance has been rock-solid. Exceeded expectations.,2024-07-14T23:00:00
3,Business Unlimited,"Dallas, TX",Is the 'unlimited' really unlimited? We'll see.,2024-01-06T10:00:00
2,Magenta Max,"Dallas, TX",The sign-up process was a nightmare of upsells.,2024-01-26T08:00:00
3,Business Unlimited,"Dallas, TX",Our data speeds are faster than our office wifi.,2024-05-10T17:00:00
1,Mobile Hotspot,"Houston, TX",Links on the settings page are broken.,2024-05-20T02:00:00
2,Magenta Max,"Atlanta, GA",My bill is higher than promised after the 'upgrade'.,2024-01-16T12:00:00
3,Business Unlimited,"Phoenix, AZ","The price is high, hope it's worth it.",2024-02-15T11:00:00
2,Magenta Max,"Chicago, IL",The integration with my existing services is broken.,2024-06-24T14:00:00
3,Business Unlimited,"New York, NY",The performance has been rock-solid. Exceeded expectations.,2024-06-14T06:00:00
2,Magenta Max,"New York, NY",This plan is a mess. My bill is wrong *again* because of the bundles.,2024-04-25T15:00:00
1,Mobile Hotspot,"Houston, TX",Getting constant 'SIM not found' errors.,2024-07-14T08:00:00
2,Magenta Max,"Atlanta, GA",The integration with my existing services is broken.,2024-05-15T18:00:00
3,Business Unlimited,"Atlanta, GA",This plan is fantastic. Zero downtime this quarter.,2024-05-20T19:00:00
3,Business Unlimited,"Houston, TX",The flat-rate billing is so much easier for accounting.,2024-05-15T01:00:00
3,Business Unlimited,"Atlanta, GA",The flat-rate billing is so much easier for accounting.,2024-06-29T20:00:00
2,Magenta Max,"New York, NY","I don't need this Netflix add-on, why am I paying for it?",2024-03-06T09:00:00
1,Mobile Hotspot,"Dallas, TX","The screen won't load, it's just blank.",2024-04-20T17:00:00
3,Business Unlimited,"Atlanta, GA",Speeds are consistent across all 10 of our lines.,2024-02-25T10:00:00
2,Magenta Max,"Dallas, TX",The 'bundled' services are confusing.,2024-01-31T15:00:00
2,Magenta Max,"Dallas, TX","I don't need this Netflix add-on, why am I paying for it?",2024-04-05T06:00:00
2,Magenta Max,"New York, NY",The integration with my existing services is broken.,2024-04-15T07:00:00
2,Magenta Max,"Houston, TX",The 'bundled' services are confusing.,2024-02-10T04:00:00
3,Business Unlimited,"Miami, FL","Good reliability, no dropped calls during meetings.",2024-04-10T20:00:00
2,Magenta Max,"Chicago, IL",The sign-up process was a nightmare of upsells.,2024-03-01T12:00:00
1,Mobile Hotspot,"Dallas, TX","Trying to update settings, but the 'save' button does nothing.",2024-06-19T03:00:00
1,Mobile Hotspot,"Houston, TX",Reliable connection for my laptop.,2024-02-15T00:00:00
1,Mobile Hotspot,"Houston, TX",Links on the settings page are broken.,2024-05-15T02:00:00
3,Business Unlimited,"Los Angeles, CA",The performance has been rock-solid. Exceeded expectations.,2024-06-24T00:00:00
3,Business Unlimited,"Dallas, TX",The dedicated support line is actually very helpful.,2024-04-15T19:00:00
1,Mobile Hotspot,"Chicago, IL","Great speed, no issues so far.",2024-01-01T10:00:00
3,Business Unlimited,"Chicago, IL","Good reliability, no dropped calls during meetings.",2024-03-16T07:00:00
3,Business Unlimited,"Phoenix, AZ",The multi-line discount is saving us real money.,2024-04-05T00:00:00
1,Mobile Hotspot,"New York, NY","The screen won't load, it's just blank.",2024-05-10T11:00:00
3,Business Unlimited,"New York, NY",The multi-line discount is saving us real money.,2024-04-20T15:00:00
3,Business Unlimited,"New York, NY",The performance has been rock-solid. Exceeded expectations.,2024-05-30T17:00:00
3,Business Unlimited,"Chicago, IL","Onboarding was a bit of a hassle, but it's done.",2024-02-10T03:00:00
1,Mobile Hotspot,"Chicago, IL",Sometimes it takes a minute to connect.,2024-03-06T01:00:00
1,Mobile Hotspot,"Dallas, TX",The power button is completely stuck!,2024-04-15T12:00:00
1,Mobile Hotspot,"Phoenix, AZ","Great speed, no issues so far.",2024-01-11T02:00:00
2,Magenta Max,"Chicago, IL",This 'forced upgrade' is a classic bait-and-switch.,2024-05-05T05:00:00
1,Mobile Hotspot,"Chicago, IL","Trying to update settings, but the 'save' button does nothing.",2024-03-21T23:00:00
2,Magenta Max,"Phoenix, AZ",Customer service can't explain the new charges.,2024-05-20T10:00:00
3,Business Unlimited,"Phoenix, AZ",Best business plan we've ever had. Highly recommend.,2024-06-19T14:00:00
1,Mobile Hotspot,"Dallas, TX","Setup was a breeze, works perfectly!",2024-01-26T19:00:00
3,Business Unlimited,"Miami, FL",The flat-rate billing is so much easier for accounting.,2024-06-04T17:00:00
1,Mobile Hotspot,"Phoenix, AZ",The screen is small but functional.,2024-02-05T11:00:00
1,Mobile Hotspot,"New York, NY","The admin page is broken, just shows a 404 error.",2024-07-09T18:00:00
2,Magenta Max,"Houston, TX",My bill is higher than promised after the 'upgrade'.,2024-03-16T15:00:00
3,Business Unlimited,"Miami, FL",The performance has been rock-solid. Exceeded expectations.,2024-06-09T23:00:00
2,Magenta Max,"Chicago, IL",Customer service can't explain the new charges.,2024-04-20T01:00:00
1,Mobile Hotspot,"Dallas, TX","Great speed, no issues so far.",2024-01-31T06:00:00
1,Mobile Hotspot,"Phoenix, AZ",Links on the settings page are broken.,2024-05-30T18:00:00
1,Mobile Hotspot,"Phoenix, AZ",The power button is completely stuck!,2024-04-30T06:00:00
1,Mobile Hotspot,"Houston, TX","I can't find the 'connect' link, is it invisible?",2024-04-10T04:00:00
1,Mobile Hotspot,"Phoenix, AZ",Getting constant 'SIM not found' errors.,2024-06-09T08:00:00
1,Mobile Hotspot,"Phoenix, AZ","The screen won't load, it's just blank.",2024-04-05T23:00:00
1,Mobile Hotspot,"Houston, TX","The screen won't load, it's just blank.",2024-03-16T07:00:00
2,Magenta Max,"Atlanta, GA",My bill is higher than promised after the 'upgrade'.,2024-01-01T03:00:00
